iter	Passed	Remaining
0	2	2079
1	3	1995
2	5	1966
3	7	1929
4	10	1994
5	11	1915
6	13	1893
7	15	1864
8	16	1831
9	18	1832
10	20	1807
11	21	1792
12	23	1780
13	25	1782
14	27	1810
15	29	1801
16	31	1797
17	32	1778
18	34	1775
19	36	1776
20	38	1778
21	39	1771
22	41	1783
23	44	1797
24	45	1792
25	47	1795
26	49	1787
27	51	1779
28	53	1789
29	55	1793
30	58	1822
31	60	1826
32	62	1823
33	63	1813
34	65	1800
35	67	1794
36	68	1785
37	70	1780
38	72	1778
39	74	1785
40	76	1777
41	78	1779
42	79	1777
43	81	1777
44	83	1777
45	85	1769
46	86	1761
47	88	1758
48	90	1759
49	92	1759
50	94	1755
51	96	1752
52	97	1748
53	99	1742
54	101	1735
55	102	1728
56	104	1724
57	106	1732
58	108	1736
59	110	1733
60	112	1729
61	114	1725
62	116	1725
63	118	1728
64	120	1735
65	123	1743
66	125	1752
67	127	1751
68	129	1748
69	131	1743
70	133	1747
71	135	1748
72	138	1757
73	140	1753
74	141	1748
75	143	1740
76	144	1736
77	146	1734
78	148	1731
79	150	1726
80	152	1727
81	155	1735
82	156	1732
83	158	1731
84	160	1729
85	162	1725
86	164	1723
87	165	1720
88	168	1727
89	171	1732
90	174	1740
91	175	1734
92	177	1735
93	179	1730
94	181	1726
95	182	1719
96	184	1720
97	187	1725
98	189	1727
99	191	1724
100	193	1724
101	195	1722
102	197	1720
103	199	1722
104	202	1725
105	203	1720
106	205	1715
107	207	1710
108	208	1705
109	210	1701
110	211	1697
111	213	1691
112	215	1693
113	218	1697
114	220	1695
115	221	1688
116	223	1685
117	225	1682
118	226	1678
119	228	1674
120	230	1674
121	233	1678
122	235	1676
123	237	1675
124	238	1670
125	240	1665
126	241	1660
127	243	1656
128	244	1651
129	246	1649
130	248	1649
131	250	1648
132	252	1644
133	254	1642
134	255	1638
135	258	1640
136	259	1636
137	261	1631
138	263	1630
139	265	1628
140	267	1628
141	268	1625
142	270	1621
143	272	1619
144	273	1615
145	275	1612
146	277	1610
147	279	1610
148	281	1609
149	283	1605
150	284	1601
151	286	1597
152	288	1597
153	290	1593
154	291	1589
155	292	1585
156	294	1582
157	296	1578
158	297	1574
159	299	1570
160	301	1568
161	302	1564
162	304	1561
163	305	1559
164	307	1556
165	309	1555
166	311	1553
167	313	1550
168	314	1547
169	316	1545
170	318	1543
171	319	1539
172	321	1537
173	323	1534
174	325	1532
175	327	1531
176	329	1530
177	331	1528
178	332	1526
179	334	1524
180	336	1522
181	338	1521
182	340	1521
183	343	1522
184	346	1525
185	347	1522
186	349	1519
187	351	1516
188	352	1512
189	354	1509
190	355	1506
191	357	1504
192	360	1506
193	362	1504
194	364	1503
195	365	1501
196	368	1500
197	370	1499
198	372	1498
199	374	1499
200	376	1498
201	378	1495
202	380	1493
203	381	1489
204	383	1486
205	385	1484
206	386	1481
207	388	1479
208	393	1490
209	396	1490
210	397	1487
211	399	1486
212	401	1483
213	403	1480
214	404	1476
215	406	1474
216	408	1473
217	409	1470
218	411	1467
219	413	1464
220	415	1463
221	417	1461
222	418	1458
223	420	1455
224	422	1454
225	424	1453
226	426	1450
227	427	1447
228	429	1445
229	430	1442
230	432	1439
231	434	1437
232	436	1435
233	438	1434
234	440	1433
235	441	1428
236	442	1425
237	444	1423
238	446	1420
239	447	1418
240	449	1416
241	451	1415
242	454	1415
243	456	1414
244	458	1414
245	460	1412
246	462	1410
247	464	1407
248	466	1406
249	468	1405
250	471	1406
251	473	1405
252	475	1403
253	476	1400
254	478	1398
255	480	1397
256	482	1394
257	484	1393
258	487	1394
259	489	1392
260	491	1391
261	493	1389
262	495	1387
263	496	1385
264	498	1382
265	500	1381
266	503	1382
267	506	1382
268	507	1380
269	509	1378
270	511	1376
271	513	1374
272	515	1373
273	518	1373
274	520	1373
275	523	1373
276	525	1371
277	527	1369
278	529	1367
279	530	1364
280	533	1364
281	535	1364
282	537	1362
283	539	1360
284	541	1358
285	542	1355
286	544	1353
287	546	1351
288	549	1352
289	552	1352
290	554	1350
291	556	1349
292	558	1347
293	560	1344
294	561	1342
295	563	1340
296	566	1341
297	568	1339
298	570	1336
299	571	1334
300	573	1331
301	575	1329
302	577	1327
303	578	1325
304	581	1324
305	583	1322
306	584	1320
307	586	1318
308	588	1315
309	590	1313
310	591	1311
311	593	1308
312	595	1307
313	597	1306
314	599	1304
315	601	1302
316	603	1300
317	605	1298
318	607	1296
319	608	1294
320	610	1292
321	613	1291
322	615	1289
323	616	1286
324	618	1283
325	619	1281
326	621	1279
327	623	1277
328	625	1275
329	627	1274
330	629	1273
331	631	1270
332	633	1268
333	635	1266
334	636	1264
335	638	1262
336	640	1260
337	643	1259
338	645	1258
339	647	1256
340	648	1253
341	650	1251
342	652	1249
343	654	1248
344	656	1246
345	659	1245
346	661	1244
347	663	1242
348	664	1240
349	666	1238
350	668	1235
351	670	1233
352	671	1231
353	673	1228
354	675	1227
355	678	1226
356	679	1224
357	681	1222
358	683	1219
359	684	1217
360	686	1214
361	688	1212
362	689	1210
363	691	1208
364	693	1207
365	695	1205
366	697	1203
367	699	1201
368	701	1199
369	703	1198
370	705	1196
371	707	1194
372	709	1193
373	711	1190
374	713	1189
375	715	1188
376	717	1185
377	719	1183
378	721	1182
379	723	1181
380	726	1179
381	727	1177
382	729	1175
383	731	1173
384	733	1171
385	735	1169
386	736	1166
387	738	1165
388	740	1163
389	742	1161
390	744	1159
391	745	1156
392	746	1153
393	748	1151
394	750	1149
395	752	1147
396	754	1146
397	757	1145
398	759	1144
399	761	1142
400	763	1140
401	765	1138
402	767	1136
403	769	1134
404	771	1133
405	774	1132
406	776	1131
407	778	1129
408	780	1127
409	782	1125
410	783	1123
411	785	1121
412	788	1121
413	791	1120
414	793	1119
415	796	1117
416	798	1115
417	799	1113
418	802	1112
419	805	1111
420	806	1109
421	808	1107
422	810	1105
423	812	1103
424	814	1101
425	816	1099
426	818	1098
427	821	1097
428	823	1096
429	825	1094
430	827	1092
431	829	1090
432	831	1088
433	832	1086
434	835	1085
435	837	1083
436	839	1081
437	841	1079
438	843	1077
439	845	1075
440	846	1073
441	849	1072
442	851	1071
443	853	1068
444	854	1065
445	856	1063
446	858	1061
447	859	1059
448	861	1057
449	863	1055
450	865	1053
451	867	1052
452	869	1050
453	871	1048
454	873	1046
455	874	1043
456	876	1041
457	878	1039
458	880	1038
459	883	1036
460	885	1034
461	886	1032
462	888	1030
463	890	1028
464	892	1026
465	894	1024
466	895	1022
467	897	1020
468	900	1019
469	902	1017
470	903	1015
471	905	1012
472	907	1010
473	908	1008
474	910	1006
475	912	1004
476	914	1002
477	916	1000
478	918	998
479	919	996
480	921	994
481	924	993
482	925	991
483	927	988
484	929	987
485	931	985
486	933	983
487	935	981
488	937	979
489	939	977
490	941	975
491	942	973
492	944	971
493	947	970
494	948	968
495	950	965
496	952	964
497	954	962
498	956	960
499	958	958
500	959	955
501	962	954
502	964	952
503	966	950
504	967	948
505	969	946
506	971	944
507	972	942
508	974	940
509	976	938
510	978	936
511	980	934
512	982	932
513	984	930
514	986	928
515	988	927
516	990	925
517	992	923
518	994	921
519	996	919
520	998	917
521	1000	915
522	1001	913
523	1003	911
524	1005	909
525	1006	907
526	1008	905
527	1011	904
528	1013	902
529	1015	900
530	1017	898
531	1019	897
532	1021	895
533	1023	893
534	1026	891
535	1028	890
536	1030	888
537	1032	886
538	1033	884
539	1035	882
540	1037	880
541	1039	878
542	1042	877
543	1045	876
544	1047	874
545	1049	872
546	1050	870
547	1052	868
548	1054	866
549	1057	865
550	1060	864
551	1062	862
552	1064	860
553	1066	858
554	1068	856
555	1070	854
556	1072	852
557	1075	851
558	1077	849
559	1078	847
560	1080	845
561	1082	843
562	1084	841
563	1086	839
564	1088	838
565	1091	836
566	1093	834
567	1094	832
568	1096	830
569	1098	828
570	1100	826
571	1102	824
572	1104	823
573	1107	821
574	1108	819
575	1110	817
576	1112	815
577	1114	813
578	1116	811
579	1117	809
580	1119	807
581	1121	805
582	1123	803
583	1125	801
584	1127	800
585	1129	798
586	1131	796
587	1133	794
588	1135	792
589	1137	790
590	1139	788
591	1141	786
592	1142	784
593	1144	782
594	1146	780
595	1147	778
596	1149	776
597	1151	774
598	1153	772
599	1155	770
600	1156	767
601	1158	765
602	1160	763
603	1161	761
604	1163	759
605	1165	757
606	1167	755
607	1169	753
608	1170	751
609	1172	749
610	1174	747
611	1176	745
612	1177	743
613	1179	741
614	1181	739
615	1183	737
616	1185	735
617	1187	734
618	1189	732
619	1193	731
620	1197	730
621	1199	729
622	1202	727
623	1204	725
624	1207	724
625	1209	722
626	1213	721
627	1215	719
628	1218	718
629	1220	716
630	1222	714
631	1224	713
632	1226	711
633	1228	709
634	1230	707
635	1232	705
636	1234	703
637	1236	701
638	1237	699
639	1239	697
640	1241	695
641	1242	693
642	1244	691
643	1246	689
644	1248	687
645	1250	685
646	1252	683
647	1253	681
648	1255	679
649	1257	676
650	1258	674
651	1261	673
652	1263	671
653	1265	669
654	1267	667
655	1269	665
656	1270	663
657	1272	661
658	1274	659
659	1276	657
660	1278	655
661	1280	653
662	1282	651
663	1284	649
664	1285	647
665	1287	645
666	1289	643
667	1291	642
668	1294	640
669	1295	638
670	1297	636
671	1299	634
672	1301	632
673	1302	630
674	1304	628
675	1306	626
676	1308	624
677	1311	622
678	1312	620
679	1314	618
680	1316	616
681	1318	614
682	1320	612
683	1322	610
684	1324	609
685	1327	607
686	1329	605
687	1330	603
688	1332	601
689	1334	599
690	1336	597
691	1337	595
692	1339	593
693	1342	591
694	1343	589
695	1345	587
696	1347	585
697	1349	583
698	1350	581
699	1352	579
700	1354	577
701	1356	575
702	1358	574
703	1360	572
704	1362	570
705	1364	568
706	1365	566
707	1367	564
708	1369	562
709	1371	560
710	1373	558
711	1375	556
712	1377	554
713	1379	552
714	1380	550
715	1382	548
716	1384	546
717	1385	544
718	1388	542
719	1390	540
720	1391	538
721	1393	536
722	1395	534
723	1396	532
724	1398	530
725	1400	528
726	1402	526
727	1404	524
728	1406	522
729	1408	521
730	1410	519
731	1412	517
732	1413	515
733	1415	513
734	1417	511
735	1420	509
736	1422	507
737	1424	505
738	1426	503
739	1427	501
740	1429	499
741	1431	497
742	1433	495
743	1434	493
744	1437	491
745	1439	490
746	1441	488
747	1442	486
748	1444	484
749	1446	482
750	1448	480
751	1449	478
752	1452	476
753	1454	474
754	1456	472
755	1458	470
756	1460	468
757	1462	466
758	1464	465
759	1466	463
760	1469	461
761	1471	459
762	1473	457
763	1475	455
764	1477	453
765	1479	451
766	1481	450
767	1484	448
768	1486	446
769	1488	444
770	1489	442
771	1491	440
772	1493	438
773	1495	436
774	1496	434
775	1498	432
776	1501	430
777	1503	429
778	1505	427
779	1507	425
780	1509	423
781	1511	421
782	1513	419
783	1515	417
784	1517	415
785	1519	413
786	1521	411
787	1522	409
788	1524	407
789	1526	405
790	1528	403
791	1530	401
792	1533	400
793	1534	398
794	1536	396
795	1538	394
796	1540	392
797	1542	390
798	1544	388
799	1546	386
800	1548	384
801	1550	382
802	1551	380
803	1553	378
804	1555	376
805	1557	374
806	1559	372
807	1561	371
808	1564	369
809	1566	367
810	1567	365
811	1569	363
812	1571	361
813	1573	359
814	1574	357
815	1576	355
816	1579	353
817	1581	351
818	1583	349
819	1585	348
820	1588	346
821	1590	344
822	1593	342
823	1596	340
824	1598	339
825	1600	337
826	1602	335
827	1604	333
828	1606	331
829	1608	329
830	1611	327
831	1614	325
832	1616	324
833	1619	322
834	1621	320
835	1623	318
836	1625	316
837	1628	314
838	1630	312
839	1632	311
840	1634	309
841	1636	307
842	1639	305
843	1641	303
844	1644	301
845	1646	299
846	1648	297
847	1650	295
848	1652	293
849	1654	291
850	1656	290
851	1658	288
852	1662	286
853	1664	284
854	1666	282
855	1668	280
856	1669	278
857	1671	276
858	1673	274
859	1676	272
860	1678	270
861	1680	268
862	1681	266
863	1683	265
864	1685	263
865	1687	261
866	1689	259
867	1691	257
868	1693	255
869	1695	253
870	1697	251
871	1699	249
872	1701	247
873	1702	245
874	1704	243
875	1707	241
876	1709	239
877	1711	237
878	1713	235
879	1715	233
880	1716	231
881	1718	229
882	1720	227
883	1722	226
884	1725	224
885	1726	222
886	1728	220
887	1730	218
888	1733	216
889	1735	214
890	1737	212
891	1740	210
892	1742	208
893	1744	206
894	1746	204
895	1747	202
896	1749	200
897	1751	198
898	1753	197
899	1756	195
900	1758	193
901	1760	191
902	1761	189
903	1763	187
904	1765	185
905	1767	183
906	1769	181
907	1772	179
908	1774	177
909	1775	175
910	1778	173
911	1779	171
912	1781	169
913	1783	167
914	1786	165
915	1788	164
916	1790	162
917	1792	160
918	1794	158
919	1795	156
920	1797	154
921	1799	152
922	1802	150
923	1804	148
924	1806	146
925	1808	144
926	1809	142
927	1811	140
928	1813	138
929	1815	136
930	1817	134
931	1820	132
932	1822	130
933	1823	128
934	1825	126
935	1827	124
936	1829	123
937	1831	121
938	1834	119
939	1836	117
940	1838	115
941	1839	113
942	1841	111
943	1843	109
944	1845	107
945	1847	105
946	1849	103
947	1851	101
948	1853	99
949	1855	97
950	1857	95
951	1858	93
952	1860	91
953	1862	89
954	1864	87
955	1867	85
956	1869	84
957	1871	82
958	1873	80
959	1875	78
960	1877	76
961	1879	74
962	1881	72
963	1883	70
964	1885	68
965	1887	66
966	1889	64
967	1890	62
968	1892	60
969	1894	58
970	1896	56
971	1899	54
972	1900	52
973	1902	50
974	1904	48
975	1905	46
976	1907	44
977	1908	42
978	1910	40
979	1912	39
980	1914	37
981	1916	35
982	1917	33
983	1919	31
984	1921	29
985	1922	27
986	1924	25
987	1926	23
988	1928	21
989	1930	19
990	1932	17
991	1933	15
992	1935	13
993	1936	11
994	1938	9
995	1940	7
996	1942	5
997	1944	3
998	1946	1
999	1947	0
