iter	Logloss
0	0.6815341032
1	0.6700348975
2	0.6598769673
3	0.6490954058
4	0.6411757616
5	0.6305516094
6	0.6205688973
7	0.6119017769
8	0.6054402806
9	0.5954966851
10	0.5860132851
11	0.5780391487
12	0.5705171888
13	0.5630855042
14	0.556414151
15	0.5493475183
16	0.5401502946
17	0.5325877796
18	0.5249615411
19	0.5175682257
20	0.5083973209
21	0.5001054675
22	0.4919706148
23	0.4846266882
24	0.477896662
25	0.4716518206
26	0.4639159877
27	0.4578831607
28	0.4523257213
29	0.4466476206
30	0.4399367344
31	0.4335996425
32	0.427500771
33	0.421125253
34	0.4152682884
35	0.4113816705
36	0.4056406915
37	0.4007306528
38	0.3953894177
39	0.3903891017
40	0.3864131363
41	0.3820591205
42	0.3791533461
43	0.3743891789
44	0.3709590613
45	0.3666754826
46	0.3620164764
47	0.3573054671
48	0.353397823
49	0.3490787591
50	0.3447618438
51	0.3412328424
52	0.336572773
53	0.3326351362
54	0.3290023725
55	0.3248786269
56	0.3209034146
57	0.3173669755
58	0.3138593991
59	0.3103754318
60	0.3070939831
61	0.3046035454
62	0.3010373957
63	0.2979465119
64	0.2947676701
65	0.2928714144
66	0.2904208948
67	0.2868409934
68	0.2838303108
69	0.2807879967
70	0.2773659866
71	0.2752472216
72	0.2721164835
73	0.2699156401
74	0.2676263763
75	0.2647160263
76	0.2624303046
77	0.2605478856
78	0.2578613294
79	0.2550429203
80	0.253127592
81	0.2513389407
82	0.2491710071
83	0.2471061244
84	0.24465526
85	0.2423678099
86	0.2404876728
87	0.2384489228
88	0.2362541864
89	0.2343159115
90	0.2323994677
91	0.2307825383
92	0.2292755674
93	0.2275208186
94	0.2259866684
95	0.225064101
96	0.2236592581
97	0.2218036247
98	0.219719419
99	0.2181541034
100	0.2162632586
101	0.2144450609
102	0.2125483359
103	0.2105204087
104	0.208753791
105	0.2071896914
106	0.2054411596
107	0.2036931974
108	0.2023968059
109	0.2008196002
110	0.1991255951
111	0.1977570531
112	0.1958368643
113	0.1944614873
114	0.1934174572
115	0.1918203581
116	0.1904295512
117	0.1889266473
118	0.1875792614
119	0.1863018979
120	0.1850708786
121	0.1837685653
122	0.1822139195
123	0.1809414315
124	0.1796756532
125	0.1784558991
126	0.1772499898
127	0.1759342553
128	0.1746035224
129	0.1734979239
130	0.1727684044
131	0.1714480578
132	0.1705240691
133	0.1692257993
134	0.1681895219
135	0.1669447264
136	0.1659114021
137	0.1648964368
138	0.1637760474
139	0.1626858714
140	0.1618309106
141	0.160884146
142	0.1599036968
143	0.1590586398
144	0.158022573
145	0.1570083576
146	0.1561731352
147	0.1550449581
148	0.1543290077
149	0.153402333
150	0.15243458
151	0.1514250338
152	0.1506542254
153	0.1493862174
154	0.1485883536
155	0.1479027671
156	0.1470814906
157	0.1462875406
158	0.145324885
159	0.1445950806
160	0.1438378719
161	0.1428330836
162	0.1422652987
163	0.1414940754
164	0.1404582602
165	0.1398311214
166	0.1390714588
167	0.1384529811
168	0.1377893124
169	0.1370132801
170	0.136023859
171	0.1353746606
172	0.1346719882
173	0.1339825795
174	0.1334606684
175	0.1326636434
176	0.1320913568
177	0.1316884616
178	0.130954012
179	0.1301667112
180	0.1293754214
181	0.1286305739
182	0.1280450063
183	0.1274603753
184	0.1265700739
185	0.1259100522
186	0.1252447479
187	0.1244777414
188	0.123956585
189	0.1234501301
190	0.1225944737
191	0.1217267998
192	0.1210619191
193	0.1205390796
194	0.1201982985
195	0.1194896347
196	0.1188913959
197	0.1183646112
198	0.1178347368
199	0.1174492799
200	0.1170481354
201	0.1164815952
202	0.1159933168
203	0.1155154367
204	0.1149473108
205	0.1142824475
206	0.1137177113
207	0.1131126977
208	0.1125318364
209	0.1121147197
210	0.1117391092
211	0.1112101041
212	0.1106055862
213	0.1101734465
214	0.1099081293
215	0.1093774401
216	0.1088022944
217	0.1085236207
218	0.108005074
219	0.1074842013
220	0.1069908628
221	0.106461301
222	0.1061798956
223	0.1057586727
224	0.1052284902
225	0.1047029523
226	0.1041371994
227	0.1036299726
228	0.1031079187
229	0.1025339041
230	0.1020729844
231	0.1016436196
232	0.1012904374
233	0.1007696508
234	0.1003480559
235	0.09980451241
236	0.09945524211
237	0.09916379551
238	0.09863292581
239	0.0984561987
240	0.09804548217
241	0.09766208143
242	0.09709387508
243	0.09676018727
244	0.09640910925
245	0.09588581365
246	0.09545211291
247	0.09514087909
248	0.09476896481
249	0.09442934538
250	0.09392348717
251	0.09348012712
252	0.09314050658
253	0.09292480935
254	0.09263038984
255	0.09226305317
256	0.09194865945
257	0.0915915606
258	0.09116898691
259	0.09107680837
260	0.09081555372
261	0.09054070676
262	0.09024570653
263	0.08996709116
264	0.08949835227
265	0.08913310167
266	0.0887551432
267	0.08846447994
268	0.08826436159
269	0.08793268873
270	0.0875936778
271	0.08739016482
272	0.08696441515
273	0.08661524709
274	0.08620722549
275	0.08585348304
276	0.08563005213
277	0.0852714471
278	0.0849135037
279	0.08461278408
280	0.08454664155
281	0.08415413204
282	0.08385723513
283	0.08353088008
284	0.08317837177
285	0.0827822396
286	0.08238820638
287	0.08217274006
288	0.08180516664
289	0.08157324627
290	0.08125240499
291	0.08083811683
292	0.08055014312
293	0.08023511233
294	0.0798560503
295	0.07960240588
296	0.07927342513
297	0.07902610401
298	0.0787936645
299	0.07852913464
300	0.07816420442
301	0.07783878253
302	0.07755924821
303	0.07727402875
304	0.07702857838
305	0.07678713127
306	0.07644978492
307	0.07609947479
